Year,1,2,3,4,5,6+
1963,0.01,0.05,0.23,0.62,0.86,1
1964,0.01,0.05,0.23,0.62,0.86,1
1965,0.01,0.05,0.23,0.62,0.86,1
1966,0.01,0.05,0.23,0.62,0.86,1
1967,0.01,0.05,0.23,0.62,0.86,1
1968,0.01,0.05,0.23,0.62,0.86,1
1969,0.01,0.05,0.23,0.62,0.86,1
1970,0.01,0.05,0.23,0.62,0.86,1
1971,0.01,0.05,0.23,0.62,0.86,1
1972,0.01,0.05,0.23,0.62,0.86,1
1973,0.008,0.03,0.228,0.628,0.859,1
1974,0.007,0.035,0.223,0.616,0.845,1
1975,0.007,0.04,0.22,0.603,0.833,1
1976,0.006,0.046,0.217,0.591,0.82,1
1977,0.005,0.051,0.215,0.58,0.809,1
1978,0.005,0.056,0.215,0.57,0.799,1
1979,0.004,0.061,0.216,0.56,0.791,1
1980,0.003,0.067,0.219,0.551,0.785,1
1981,0.003,0.072,0.225,0.544,0.782,1
1982,0.002,0.078,0.233,0.539,0.78,1
1983,0.002,0.084,0.245,0.538,0.781,1
1984,0.001,0.09,0.262,0.54,0.785,1
1985,0.001,0.096,0.283,0.549,0.791,1
1986,0.001,0.103,0.309,0.564,0.8,1
1987,0.001,0.11,0.339,0.586,0.812,1
1988,0.001,0.117,0.371,0.612,0.825,1
1989,0.001,0.124,0.402,0.643,0.84,1
1990,0.002,0.132,0.431,0.675,0.856,1
1991,0.002,0.14,0.454,0.706,0.872,1
1992,0.003,0.149,0.471,0.734,0.887,1
1993,0.003,0.158,0.482,0.757,0.901,1
1994,0.004,0.167,0.489,0.774,0.913,1
1995,0.005,0.177,0.492,0.787,0.923,1
1996,0.006,0.187,0.495,0.794,0.931,1
1997,0.008,0.197,0.501,0.798,0.937,1
1998,0.009,0.208,0.51,0.799,0.941,1
1999,0.011,0.218,0.525,0.799,0.943,1
2000,0.013,0.23,0.545,0.798,0.944,1
2001,0.015,0.241,0.569,0.798,0.944,1
2002,0.017,0.252,0.596,0.798,0.944,1
2003,0.019,0.264,0.624,0.8,0.943,1
2004,0.022,0.275,0.651,0.804,0.943,1
2005,0.024,0.287,0.676,0.81,0.943,1
2006,0.027,0.299,0.697,0.818,0.944,1
2007,0.03,0.31,0.714,0.828,0.945,1
2008,0.033,0.322,0.725,0.839,0.946,1
2009,0.036,0.333,0.729,0.85,0.947,0.993
2010,0.039,0.345,0.727,0.859,0.947,0.98
2011,0.041,0.357,0.718,0.867,0.945,1
2012,0.044,0.368,0.702,0.872,0.943,1
2013,0.047,0.38,0.682,0.875,0.939,1
2014,0.05,0.391,0.659,0.877,0.934,1
2015,0.053,0.403,0.634,0.878,0.929,1
2016,0.053,0.403,0.634,0.878,0.929,1
